query,Description,COG
group_5758,protein conserved in bacteria,S
macA_macA_2_macA_1,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,M
cspD,Cold shock,K
clpA,Belongs to the ClpA ClpB family,O
infA,"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex",J
aat,"Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine",O
cydD_1_cydD_2_cydD,(ABC) transporter,V
trxB_1_trxB,Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family,C
lrp,AsnC-type helix-turn-helix domain,K
lolA,Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane),M
rarA_2_rarA_1_rarA,ATPase related to the helicase subunit of the Holliday junction resolvase,L
pflA,"Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine",C
pflB,formate acetyltransferase,C
focA,Formate nitrite,P
group_4759,Membrane,S
serC_1_serC_serC_2,Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine,E
rpsA,thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence,J
ihfB,"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control",K
msbA_2,Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation,V
kdsB,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria,M
group_3433,Phosphotransferase enzyme family,J
cmoM,Catalyzes the methylation of 5-carboxymethoxyuridine (cmo5U) to form 5-methoxycarbonylmethoxyuridine (mcmo5U) at position 34 in tRNAs,J
mukF,"Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Not required for mini-F plasmid partitioning. Probably acts via its interaction with MukB and MukE. Overexpression results in anucleate cells. It has a calcium binding activity",D
mukE,"Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Probably acts via its interaction with MukB and MukF",D
mukB_mukB_2_mukB_1,"Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division",D
ycbB,protein conserved in bacteria,M
group_4018,protein conserved in bacteria,S
gloC,Metallo-beta-lactamase superfamily,S
aspC,aminotransferase,E
asnS,Asparaginyl-tRNA synthetase,J
pncB,Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP,F
ssuD_1_ssuD,Catalyzes the desulfonation of aliphatic sulfonates,C
pyrD,Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor,F
ycbX_2_ycbX,Mosc domain protein beta barrel domain protein,C
rlmL,Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA,J
pqiA,paraquat-inducible protein A,S
pqiB_2_pqiB,paraquat-inducible protein b,Q
fabA,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length",I
group_2184,Belongs to the peptidase S16 family,O
matP,"Required for spatial organization of the terminus region of the chromosome (Ter macrodomain) during the cell cycle. Prevents early segregation of duplicated Ter macrodomains during cell division. Binds specifically to matS, which is a 13 bp signature motif repeated within the Ter macrodomain",D
ompA_2,Belongs to the ompA family,M
sulA,"Component of the SOS system and an inhibitor of cell division. Accumulation of SulA causes rapid cessation of cell division and the appearance of long, non-septate filaments. In the presence of GTP, binds a polymerization-competent form of FtsZ in a 1 1 ratio, thus inhibiting FtsZ polymerization and therefore preventing it from participating in the assembly of the Z ring. This mechanism prevents the premature segregation of damaged DNA to daughter cells during cell division",D
yccF,Membrane,S
mgsA,Methylglyoxal synthase,G
hspQ,"Involved in the degradation of certain denaturated proteins, including DnaA, during heat shock stress",S
tusE,part of a sulfur-relay system,P
yccA,Belongs to the BI1 family,S
oppA_1_oppA_3_oppA_2,ABC transporter substrate-binding protein,E
group_2329,type VI secretion-associated protein,S
yccJ_yccJ_2,YccJ-like protein,S
wrbA_wrbA_2,Belongs to the WrbA family,S
group_2186,-,-
rutF_2_rutF,Catalyzes the reduction of FMN to FMNH2 which is used to reduce pyrimidine by RutA via the Rut pathway,C
rutC_1_rutC_2_rutC,May reduce aminoacrylate peracid to aminoacrylate. Required to remove a toxic intermediate produce by the pyrimidine nitrogen degradation,J
rutB_2_rutB_3_rutB,"In vivo, quickly hydrolyzes the ureidoacrylate peracid to avoid toxicity, but can also hydrolyzes ureidoacrylate that is formed spontaneously from ureidoacrylate peracid. One of the products of hydrolysis, carbamate, hydrolyzes spontaneously, thereby releasing one of the pyrimidine rings nitrogen atoms as ammonia and one of its carbons as CO2",Q
rutA_2_rutA_rutA_1,"Catalyzes the pyrimidine ring opening between N-3 and C- 4 by an unusual flavin hydroperoxide-catalyzed mechanism to yield ureidoacrylate peracid. It cleaves pyrmidine rings directly by adding oxygen atoms, making a toxic ureidoacrylate peracid product which can be spontaneously reduced to ureidoacrylate",C
rutR,transcriptional regulator,K
putA_2_putA_putA_1,Oxidizes proline to glutamate for use as a carbon and nitrogen source,C
nupC_2_nupC_1,Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family,F
efeU,Iron Permease,P
efeO,periplasmic lipoprotein involved in iron transport,P
phoH_2,phosphate starvation-inducible protein,T
lpfD,Fimbrial protein,NU
ycdX_1_ycdX_2_ycdX,DNA polymerase alpha chain like domain,E
mdoC,Necessary for the succinyl substitution of periplasmic glucans. Could catalyze the transfer of succinyl residues from the cytoplasmic side of the membrane to the nascent glucan backbones on the periplasmic side of the membrane,I
mdoG,Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs),P
mdoH,Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs),M
lpxL,Catalyzes the transfer of laurate from lauroyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)- (lauroyl)-lipid IV(A),M
group_3002,Belongs to the UPF0176 family,S
yceI_2_yceI_1_yceI,YceI-like domain,S
yceJ,cytochrome b561,C
bssS,"disruption of this gene in Escherichia coli led to effects on biofilm formation, alteration in expression of a number of genes and mutations in bssS led to defects in indole transport and autoinducer-2 uptake and processing",S
pyrC_2_pyrC_1_pyrC,Catalyzes the reversible cyclization of carbamoyl aspartate to dihydroorotate,F
yceB,(Lipo)protein,S
grxB_1_grxB_2,Glutaredoxin 2,O
rimJ_2_rimJ_1_rimJ,"COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins",J
murJ,Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane,S
flgN,Flagellar biosynthesis protein,N
flgM,negative regulator of flagellin synthesis,N
flgA,Involved in the assembly process of the P-ring formation. It may associate with FlgF on the rod constituting a structure essential for the P-ring assembly or may act as a modulator protein for the P-ring assembly,N
flgB,"Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body",N
flgC,Belongs to the flagella basal body rod proteins family,N
flgD,Required for flagellar hook formation. May act as a scaffolding protein,N
flgE,Flagellar basal body protein FlaE,N
flgF,flagellar basal body,N
flgG,Belongs to the flagella basal body rod proteins family,N
flgH,Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation,N
flgI_1_flgI_2_flgI,Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation,N
flgJ,Flagellar rod assembly protein muramidase FlgJ,N
flgL,Belongs to the bacterial flagellin family,N
group_5091,Major facilitator superfamily,EGP
rluC,Responsible for synthesis of pseudouridine from uracil,J
yceD,"metal-binding, possibly nucleic acid-binding protein",S
fabH_1,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids,I
fabD,malonyl CoA-acyl carrier protein transacylase,I
group_4352,KR domain,IQ
acpP,Carrier of the growing fatty acid chain in fatty acid biosynthesis,IQ
fabF_2_fabF_1_fabF,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP,I
mltG,Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation,F
holB,dna polymerase iii,L
ycfH_1_ycfH_2_ycfH,TatD family,L
ptsG_5,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II complex composed of PtsG and Crr is involved in glucose transport. Also functions as a chemoreceptor monitoring the environment for changes in sugar concentration",G
fhuE_2_fhuE_1_fhuE,TonB-dependent Receptor Plug Domain,M
hinT,COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,FG
nagZ,"Plays a role in peptidoglycan recycling by cleaving the terminal beta-1,4-linked N-acetylglucosamine (GlcNAc) from peptide-linked peptidoglycan fragments, giving rise to free GlcNAc, anhydro-N-acetylmuramic acid and anhydro-N-acetylmuramic acid-linked peptides",G
ndh,NADH dehydrogenase,C
group_3616,Outer Membrane Lipoprotein,S
comR,Transcriptional regulator,K
mfd_mfd_1_mfd_2,"Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site",L
lolC,Lipoprotein releasing system transmembrane protein,M
lolD_2,Part of the ABC transporter complex LolCDE involved in the translocation of,V
lolE,Lipoprotein releasing system transmembrane protein,M
cobB,NAD-dependent lysine deacetylase and desuccinylase that specifically removes acetyl and succinyl groups on target proteins. Modulates the activities of several proteins which are inactive in their acylated form,K
ydcV_2,"ABC-type spermidine putrescine transport system, permease component II",P
potB,"ABC-type spermidine putrescine transport system, permease component I",P
roxA_2,Cupin 4 family protein,S
phoQ,Histidine kinase,T
phoP_2,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,K
purB_1_purB_2_purB,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,F
mnmA,"Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34",J
nudJ,Belongs to the Nudix hydrolase family. NudJ subfamily,L
icd_2_icd_1_icd,Isocitrate dehydrogenase,C
trg_4_trg_2_trg_3_trg_1,Four helix bundle sensory module for signal transduction,NT
cspB,Cold shock,K
group_4362,-,-
group_3799,-,-
rssB_1_cheV,chemotaxis signal transduction protein,T
group_4617,protein conserved in bacteria,S
nimT_1_nimT_2_nimT,Major facilitator superfamily,P
group_5853,YbaK prolyl-tRNA synthetase associated,S
group_4120,-,-
group_4554,PrkA serine protein kinase C-terminal domain,T
mipA,MltA-interacting protein,M
msrB,Belongs to the MsrB Met sulfoxide reductase family,O
ansA,COG0252 L-asparaginase archaeal Glu-tRNAGln amidotransferase subunit D,EJ
ydjA,Nitroreductase,C
astC,aminotransferase,E
nadE,Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source,F
osmE,activator of ntr-like gene protein,J
katE_1_katE_2_katE,serves to protect cells from the toxic effects of hydrogen peroxide,C
tcyP_2_tcyP_1_tcyP,Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,U
ydjM,membrane-bound metal-dependent,S
kduD_1_kduD_2,COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),IQ
group_5692,Membrane,S
group_4109,Fructosamine kinase,G
group_4558,Salt-induced outer membrane protein,M
proP_3_proP_1_proP_2,transporter,EGP
infC,"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins",J
rpmI,Belongs to the bacterial ribosomal protein bL35 family,J
rplT,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,J
pheS,Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily,J
pheT,Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily,J
mepS_1,COG0791 Cell wall-associated hydrolases (invasion-associated proteins),M
selO,Belongs to the UPF0061 (SELO) family,S
ppsR,Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the phosphoenolpyruvate synthase (PEPS) by catalyzing its phosphorylation dephosphorylation,F
ydiK_1,"ydiK promoter presents a PurR sequence, suggesting that its expression is purine-regulated",S
group_105,Fad linked oxidase,C
sufB_2_sufB_1_sufB,FeS assembly protein SufB,O
sufC,FeS assembly ATPase SufC,O
sufS,"Cysteine desulfurases mobilize the sulfur from L- cysteine to yield L-alanine, an essential step in sulfur metabolism for biosynthesis of a variety of sulfur-containing biomolecules. Component of the suf operon, which is activated and required under specific conditions such as oxidative stress and iron limitation. Acts as a potent selenocysteine lyase in vitro, that mobilizes selenium from L-selenocysteine. Selenocysteine lyase activity is however unsure in vivo",E
ynhG,ErfK YbiS YcfS YnhG family protein,M
lpp_lpp1,major outer membrane lipoprotein,M
pykF,Belongs to the pyruvate kinase family,G
tibC_2_tibC_1_tibC,Glycosyltransferase family 9 (heptosyltransferase),M
puuB_1_puuB_2_puuB,oxidoreductase,E
puuR,Helix-turn-helix domain,K
puuD_1_puuD_2,Gamma-glutamyl-gamma-aminobutyrate hydrolase,E
puuP,Amino Acid,E
hycE_ndhH_hycE_2_hycE_1,HycBCDEFG is part of the formate hydrogenlyase system which is involved in the cleaving of formate to dihydrogen and carbon dioxide,C
group_5616,electron transport,C
fdhF_3_fdhF_1_fdhF_2,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,C
fdhF_1_fdhF_3,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,C
group_4359,Sigma-S stabilisation anti-adaptor protein,S
group_3741,Beta-lactamase,S
gcvA_2,transcriptional regulator,K
betI_2_betI_3_betI_1,Repressor involved in choline regulation of the bet genes,K
betT_1_betT_2_betT,"BCCT, betaine/carnitine/choline family transporter",P
ribC,Riboflavin synthase,H
ccpA_2,transcriptional regulator,K
gmuD_2,Belongs to the glycosyl hydrolase 1 family,G
licC_3_lacE_licC_5,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",G
cfa,synthase,M
purR_purR_1_purR_2,"Is the main repressor of the genes involved in the de novo synthesis of purine nucleotides, regulating purB, purC, purEK, purF, purHD, purL, purMN and guaBA expression. PurR is allosterically activated to bind its cognate DNA by binding the purine corepressors, hypoxanthine or guanine, thereby effecting transcription repression",K
grxD,Belongs to the glutaredoxin family. Monothiol subfamily,C
gloA,"Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione",E
nemA_2_nemA_3_nemA_1,nadh flavin,C
aaeB_2_aaeB_1_aaeB_3,Fusaric acid resistance protein,S
slyA_2,Transcription regulator that can specifically activate or repress expression of target genes,K
slyB,Outer Membrane Lipoprotein,M
anmK_2_anmK_1_anmK,"Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling",F
pdxH,Catalyzes the oxidation of either pyridoxine 5'- phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP),H
pdxY,Pyridoxal kinase involved in the salvage pathway of pyridoxal 5'-phosphate (PLP). Catalyzes the phosphorylation of pyridoxal to PLP,H
gstA,Belongs to the GST superfamily,O
nth,"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate",L
rsxG,Part of a membrane complex involved in electron transport,C
rsxD,Part of a membrane complex involved in electron transport,C
rsxB_1,Part of a membrane complex involved in electron transport,C
ydgK,Membrane,S
cnu,expression modulating family protein,S
ydgJ_1_ydgJ_2_ydgJ,oxidoreductase,S
add,Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism,F
malX_2_malX_malX_1,PTS system,G
malI_1_malI_2,Transcriptional regulator,K
fumA_1_fumA_2_fumA,Catalyzes the reversible hydration of fumarate to (S)- malate,C
fumC,Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,C
tus_2_tus_tus_1,Trans-acting protein required for termination of DNA replication. Binds to DNA replication terminator sequences (terA to terF) to prevent the passage of replication forks. The termination efficiency will be affected by the affinity of this protein for the terminator sequence,L
dmlR_3_dmlR_6,transcriptional regulator,K
baiA_fabG_6,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),IQ
rstA,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,K
folM_1_folM_2_folM,reductase,IQ
pntB,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane,C
uspE,universal stress protein,T
fnr,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,K
ogt_2_ogt_ogt_1,Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated,L
smrA,protein conserved in bacteria,S
dppB_2_gsiC_1_dppB_1,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",U
abfA,Alpha-N-arabinofuranosidase,G
yagG_3_yicJ_2_yagG_2,"to Pantoea sp. At-9b, sugar (Glycoside-Pentoside-Hexuronide) transporter (NCBI ZP_05729806.1)",G
appC_cydA_1_ythA_cydA_2,"oxidase, subunit",C
ydcV_3,ABC transporter (permease),P
group_3180,-,-
group_425,Spermidine dehydrogenase,Q
dppA_3_dppA_4_dppA_1,"extracellular solute-binding protein, family 5",E
group_2349,transcriptional regulator,K
curA_2_curA,nadp-dependent,S
gsiC_2_gsiC_1,"ABC-type dipeptide oligopeptide nickel transport systems, permease components",P
gsiD_2,transport,EP
gsiB_2_oppA_1_gsiB_1_dppA_2,"Extracellular solute-binding protein, family 5",E
mcbR,transcriptional regulator,K
group_2316,Belongs to the short-chain dehydrogenases reductases (SDR) family,S
yncE_yncE_1_yncE_2,DNA binding,S
tauD_1_tauD_2,dioxygenase,Q
group_2352,Protein of unknown function (DUF1176),S
nfsB_2_nfsB,Nitroreductase,C
yciE_2_yciE,protein conserved in bacteria,S
fabG_6_fabG_2_fabG_1,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),IQ
group_2320,-,-
group_2190,-,-
group_2191,COG2133 Glucose sorbosone dehydrogenases,G
group_2319,Protein of unknown function (DUF3131),G
group_2193,Protein of unknown function (DUF3131),G
group_2195,nitric oxide dioxygenase activity,C
group_6098,dNA-binding protein,S
group_6130,-,-
group_6111,-,-
group_6121,-,-
group_6102,Gp37 protein,S
group_6077,tail tube protein,S
group_3634,MarB protein,S
marA_1,Transcriptional activator of genes involved in the multiple antibiotic resistance (Mar) phenotype,K
marR,transcriptional regulator,K
tsr_5_tsr_4,Chemotaxis,NT
group_5394,Belongs to the small heat shock protein (HSP20) family,O
group_5287,Excisionase,K
lacY_2_lacY_1_lacY_3,LacY proton/sugar symporter,P
lacZ_3_lacZ_4_lacZ_2_lacZ_1,Belongs to the glycosyl hydrolase 2 family,G
lacI_1_lacI_2_lacI_3,Periplasmic binding protein LacI transcriptional regulator,K
group_3760,provirus excision,L
group_1262,Protein of unknown function (DUF550),S
group_2517,Serine dehydrogenase proteinase,OU
group_4442,Peptidase S24-like,S
group_2344,calcium ion binding,S
group_9663,-,-
group_1086,-,-
group_2357,Bacteriophage P21 holin S,S
group_346,Uncharacterized conserved protein (DUF2280),S
group_1605,Protein of unknown function (DUF1073),S
group_1415,gas vesicle protein,S
group_2358,protein conserved in bacteria,S
group_2198,-,-
group_2199,-,-
group_4738,lipolytic protein G-D-S-L family,E
mlaA,Lipoprotein,M
group_3022,protein conserved in bacteria,S
fadI,Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed,I
fadJ_2_fadJ_fadJ_1,Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate,I
sixA,phosphohistidine phosphatase,T
mutS2,Belongs to the UPF0115 family,S
prmB,Specifically methylates the 50S ribosomal protein L3 on a specific glutamine residue,J
aroC,"Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system",E
mepA,"Murein endopeptidase that cleaves the D-alanyl-meso-2,6- diamino-pimelyl amide bond that connects peptidoglycan strands. Likely plays a role in the removal of murein from the sacculus",M
group_3067,YfcL protein,S
fabB,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP,I
ssa1,Subtilisin-like serine proteases,O
flk,Acts as a regulator of flagellar gene expression by modulating the protein level of the anti sigma factor FlgM upon sensing ring completion or hook elongation. Flk could inhibit FlgM secretion by acting as a braking system for the flagellar- associated type III secretion,N
truA,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",J
dedA,Pfam SNARE associated Golgi protein,I
accD_2_accD_1_accD,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,I
dedD,Non-essential cell division protein that could be required for efficient cell constriction,D
cvpA,colicin V production,S
purF,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,F
ubiX,Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN,H
argT,belongs to the bacterial solute-binding protein 3 family,ET
hisJ_hisJ_1,belongs to the bacterial solute-binding protein 3 family,ET
hisQ,(ABC) transporter,P
hisM,ABC transporter (permease),P
hisP,abc transporter atp-binding protein,E
yfcD,NUDIX hydrolase,I
marA_2,Transcriptional regulator,K
ackA,Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction,F
group_4140,UPF0208 membrane protein,S
yfbR,Catalyzes the strictly specific dephosphorylation of 2'- deoxyribonucleoside 5'-monophosphates,S
alaA,"in Corynebacterium glutamicum this protein can use glutamate, 2-aminobutyrate, and aspartate as amino donors and pyruvate as the acceptor'",E
group_4178,Transcriptional regulator,K
ndhC,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",C
nuoE,NADH dehydrogenase,C
nuoF,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain",C
nuoG,NADH-quinone oxidoreductase,C
nuoH,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",C
nuoI,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",C
nuoJ,Belongs to the complex I subunit 6 family,C
nuoK,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",C
nuoL_2_nuoL_1_nuoL,"NADH ubiquinone oxidoreductase subunit 5 (Chain L) Multisubunit Na H antiporter, MnhA subunit",CP
nuoM,NADH ubiquinone oxidoreductase subunit,C
nuoN,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",C
rbn_1_rbn_2_rbn,"Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA",S
elaB,ribosome binding,S
yjdF_2,Membrane,S
tctD,Transcriptional,T
rssA_sasA_1_envZ_2_sasA_2_creC_1,Histidine kinase,T
group_3566,PFAM YfaZ family protein,S
glpT_1_glpT,transporter,G
glpQ_1_glpQ_glpQ_2,glycerophosphoryl diester phosphodiesterase,C
group_3224,2Fe-2S iron-sulfur cluster binding domain,C
nrdB_2,ribonucleotide reductase,C
nrdA_1_nrdA_2_nrdA,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,F
ubiG,O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway,H
