subject,gene,annotation,group
VFG037170(gb|WP_001081754), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG038995(gb|WP_020849437), (virB2-7, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG038997(gb|WP_011451181), (virB2-6, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039001(gb|WP_011451182), (virB2-5, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039003(gb|WP_020849439), (virB2-5, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039005(gb|WP_011451183), (virB2-4, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039009(gb|WP_044104324), (virB2-3, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039013(gb|WP_012881064), (virB2-2, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039014(gb|WP_011451193), (virB2-2, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039016(gb|WP_020849444), (virB2-2, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039018(gb|WP_011451194), (virB2-1, type IV secretion system protein VirB2 family [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039022(gb|WP_012880285), (virD4, type IV secretion system component VirD4 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039023(gb|WP_011114675), (virD4, type IV secretion system component VirD4 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039025(gb|WP_011451400), (virD4, type IV secretion system component VirD4 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039029(gb|WP_012880284), (virB11, type IV secretion system ATPase VirB11 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039030(gb|WP_035017591), (virB11, type IV secretion system ATPase VirB11 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039032(gb|WP_011451401), (virB11, type IV secretion system ATPase VirB11 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039036(gb|WP_012880283), (virB10, type IV secretion system protein VirB10 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039037(gb|WP_010266574), (virB10, type IV secretion system protein VirB10 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039038(gb|WP_037348700), (virB10, type IV secretion system protein VirB10 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039039(gb|WP_011451402), (virB10, type IV secretion system protein VirB10 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039043(gb|WP_012880282), (virB9-1, type IV secretion system protein VirB9 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039044(gb|WP_010266578), (virB9-1, type IV secretion system protein VirB9 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039046(gb|WP_021799173), (virB9-1, type IV secretion system protein VirB9 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039050(gb|WP_012880281), (virB8-1, type IV secretion protein VirB8 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039051(gb|WP_010266581), (virB8-1, type IV secretion protein VirB8 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039053(gb|WP_080502932), (virB8-1, type IV secretion protein VirB8 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039057(gb|WP_148207720), (virB7, type IV secretion system protein VirB7 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039059(gb|WP_155238385), (virB7, type IV secretion system protein VirB7 [Rvh T4SS (VF0487, - Effector delivery system (VFC0086
VFG039060(gb|WP_012880672), (ankA," Anaplasma T4SS effector protein, ankyrin repeat domain-containing protein A [Rvh T4SS secreted effectors (VF0654", - Effector delivery system (VFC0086
VFG039061(gb|WP_012658987), (ankA," Anaplasma T4SS effector protein, ankyrin repeat domain-containing protein A [Rvh T4SS secreted effectors (VF0654", - Effector delivery system (VFC0086
VFG039062(gb|WP_011114402), (ankA," Anaplasma T4SS effector protein, ankyrin repeat domain-containing protein A [Rvh T4SS secreted effectors (VF0654", - Effector delivery system (VFC0086
VFG039063(gb|WP_011450840), (ankA," Anaplasma T4SS effector protein, ankyrin repeat domain-containing protein A [Rvh T4SS secreted effectors (VF0654", - Effector delivery system (VFC0086
VFG039065(gb|WP_020849331), (ankA," Anaplasma T4SS effector protein, ankyrin repeat domain-containing protein A [Rvh T4SS secreted effectors (VF0654", - Effector delivery system (VFC0086
VFG039067(gb|WP_012880860), (ats-1, Anaplasma T4SS translocated substrate-1 [Rvh T4SS secreted effectors (VF0654, - Effector delivery system (VFC0086
VFG039068(gb|WP_010269731), (ats-1, Anaplasma T4SS translocated substrate-1 [Rvh T4SS secreted effectors (VF0654, - Effector delivery system (VFC0086
VFG039069(gb|WP_011114255), (ats-1, Anaplasma T4SS translocated substrate-1 [Rvh T4SS secreted effectors (VF0654, - Effector delivery system (VFC0086
VFG039070(gb|WP_020848986), (ats-1, Anaplasma T4SS translocated substrate-1 [Rvh T4SS secreted effectors (VF0654, - Effector delivery system (VFC0086
VFG039074(gb|WP_012880578), (ompA, outer membrane protein OmpA [OmpA (VF0499, - Invasion (VFC0083
VFG039075(gb|WP_010265113), (ompA, outer membrane protein OmpA [OmpA (VF0499, - Invasion (VFC0083
VFG039077(gb|WP_011450469), (ompA, outer membrane protein OmpA [OmpA (VF0499, - Invasion (VFC0083
VFG039081(gb|WP_012880509), (asp14, 14-kDa Anaplasma surface protein Asp14 [Asp14 (VF0500, - Invasion (VFC0083
VFG039082(gb|WP_010265607), (asp14, 14-kDa Anaplasma surface protein Asp14 [Asp14 (VF0500, - Invasion (VFC0083
VFG039084(gb|WP_011450388), (asp14, 14-kDa Anaplasma surface protein Asp14 [Asp14 (VF0500, - Invasion (VFC0083
VFG039088(gb|WP_011451002), (aipA, Anaplasma invasion protein A [AipA (VF0501, - Invasion (VFC0083
VFG039090(gb|WP_155237142), (aipA, Anaplasma invasion protein A [AipA (VF0501, - Invasion (VFC0083
VFG045355(gb|WP_155237521), (APH_RS00765, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045357(gb|WP_080502891), (APH_RS00770, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045360(gb|WP_044104250), (APH_RS02770, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045361(gb|WP_011450766), (APH_RS02775, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045362(gb|WP_101631099), (APH_RS02780, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045365(gb|WP_011451169), (APH_RS04435, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045368(gb|WP_044108165), (APH_RS04625, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045369(gb|WP_011451214), (APH_RS04690, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045370(gb|WP_080502912), (APH_RS04695, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045372(gb|WP_011451222), (APH_RS04720, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045373(gb|WP_044108207), (APH_RS04800, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045374(gb|WP_011451253), (APH_RS04890, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045375(gb|WP_044108210), (APH_RS04925, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045376(gb|WP_011451266), (APH_RS04960, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045377(gb|WP_155237524), (APH_RS05000, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045378(gb|WP_011451280), (APH_RS05055, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045379(gb|WP_044108213), (APH_RS05075, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045381(gb|WP_080502923), (APH_RS05145*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045383(gb|WP_044108215), (APH_RS05155, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045384(gb|WP_011451309), (APH_RS05210, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045385(gb|WP_155237525), (APH_RS05320, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045386(gb|WP_011451361), (APH_RS05515, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045387(gb|WP_011451394), (APH_RS05670, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045388(gb|WP_155237504), (APH_RS00135*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045390(gb|WP_020848750), (APH_RS00360*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045391(gb|WP_020848765), (APH_RS00540*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045393(gb|WP_020848772), (APH_RS00595*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045395(gb|WP_020848796), (APH_RS06240, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045396(gb|WP_020848801), (APH_RS06730*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045400(gb|WP_020848897), (APH_RS06355*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045402(gb|WP_020848997), (APH_RS03565*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045403(gb|WP_020849018), (APH_RS05870, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045407(gb|WP_020849024), (APH_RS03760*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045408(gb|WP_020849031), (APH_RS03875*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045409(gb|WP_020849032), (APH_RS03880*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045411(gb|WP_020849062), (APH_RS04215*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045413(gb|WP_133121395), (APH_RS06575*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045414(gb|WP_020849070), (APH_RS04275*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045418(gb|WP_020849075), (APH_RS04305*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045424(gb|WP_020849091), (APH_RS06750*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045425(gb|WP_080502910), (APH_RS04610*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045426(gb|WP_020849102), (APH_RS06755*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045428(gb|WP_080502914), (APH_RS04725*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045431(gb|WP_080502916), (APH_RS04765*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045432(gb|WP_155237519), (APH_RS04795*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045437(gb|WP_080502919), (APH_RS04995*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045438(gb|WP_155237404), (APH_RS05015*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045439(gb|WP_080502920), (APH_RS05020*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045440(gb|WP_080502921), (APH_RS05050*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045441(gb|WP_080502922), (APH_RS05065*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045452(gb|WP_020849172), (APH_RS05455*, hypothetical protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045453(gb|WP_080502927), (APH_RS05460*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045454(gb|WP_080502929), (APH_RS05495*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045462(gb|WP_020849198), (APH_RS05705*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045463(gb|WP_080502933), (APH_RS05735*, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG045469(gb|WP_011451366), (APH_RS05540, P44/Msp2 family outer membrane protein [P44/Msp2 family (VF0520, - Immune modulation (VFC0258
VFG043521(gb|AAO43108), (cbpA, collagen-binding protein A precursor [CbpA (VF1203, - Adherence (VFC0001
VFG044007(gb|BAA86937), (BAA86937, pyolysin [Pyolysin (PLO, (VF1309
VFG000676(gb|AAD32411), (lef, anthrax toxin lethal factor precursor [Anthrax toxin (VF0142, - Exotoxin (VFC0235
VFG000679(gb|AAF13660), (dep/capD," gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan [Capsule (VF0141", - Immune modulation (VFC0258
VFG000677(gb|AAD32414), (pagA," anthrax toxin moiety, protective antigen [Anthrax toxin (VF0142", - Exotoxin (VFC0235
VFG016210(gb|WP_001022097), (lef, anthrax toxin lethal factor precursor [Anthrax toxin (VF0142, - Exotoxin (VFC0235
VFG000678(gb|AAD32426), (cya," calmodulin sensitive adenylate cyclase, edema factor [Anthrax toxin (VF0142", - Exotoxin (VFC0235
VFG016216(gb|WP_000576719), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016217(gb|WP_000576723), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016218(gb|WP_000576715), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016219(gb|WP_000576709), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016220(gb|WP_000576704), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016221(gb|WP_000576707), (alo, thiol-activated cytolysin [ALO (VF0534, - Exotoxin (VFC0235
VFG016222(gb|WP_000830632), (cytK, cytotoxin K [CytK (VF0535, - Exotoxin (VFC0235
VFG016223(gb|WP_000830634), (cytK, cytotoxin K [CytK (VF0535, - Exotoxin (VFC0235
VFG016224(gb|WP_000830620), (cytK, cytotoxin K [CytK (VF0535, - Exotoxin (VFC0235
VFG016225(gb|WP_000830617), (cytK, cytotoxin K [CytK (VF0535, - Exotoxin (VFC0235
VFG016226(gb|WP_000136894), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016229(gb|WP_000136889), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016230(gb|WP_000136895), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016234(gb|NP_390062), (hlyIII, putative membrane hydrolase [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016235(gb|WP_003182805), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016237(gb|WP_010899012), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016238(gb|WP_011247375), (hlyIII, hemolysin III family protein [Hemolysin III (VF0655, - Exotoxin (VFC0235
VFG016239(gb|WP_001099551), (GBAA_RS27765, hemolysin III family protein [Hemolysin III homolog (VF0656, - Exotoxin (VFC0235
VFG016242(gb|WP_000995363), (BC_RS27175, hemolysin III family protein [Hemolysin III homolog (VF0656, - Exotoxin (VFC0235
VFG016243(gb|WP_000995364), (BCE_RS26770, hemolysin III family protein [Hemolysin III homolog (VF0656, - Exotoxin (VFC0235
VFG016244(gb|WP_001099550), (BCE33L_RS27355, hemolysin III family protein [Hemolysin III homolog (VF0656, - Exotoxin (VFC0235
VFG016245(gb|WP_000995319), (BT9727_RS26735, hemolysin III family protein [Hemolysin III homolog (VF0656, - Exotoxin (VFC0235
VFG016250(gb|WP_000709367), (hlyII, leukocidin/hemolysin toxin family protein [Hemolysin II (VF0657, - Exotoxin (VFC0235
VFG016251(gb|WP_000709373), (hlyII, leukocidin/hemolysin toxin family protein [Hemolysin II (VF0657, - Exotoxin (VFC0235
VFG016252(gb|WP_000709383), (hlyII, beta-channel forming cytolysin [Hemolysin II (VF0657, - Exotoxin (VFC0235
VFG016253(gb|WP_000710124), (hlyII, beta-channel forming cytolysin [Hemolysin II (VF0657, - Exotoxin (VFC0235
VFG016254(gb|WP_000976151), (hblA, Hemolysin BL binding component precursor [HBL (VF0532, - Exotoxin (VFC0235
VFG016255(gb|WP_000976165), (hblA, Hemolysin BL binding component precursor [HBL (VF0532, - Exotoxin (VFC0235
VFG016256(gb|WP_000976145), (hblA, Hemolysin BL binding component precursor [HBL (VF0532, - Exotoxin (VFC0235
VFG016260(gb|WP_000714434), (hblD, Hemolysin BL lytic component L1 [HBL (VF0532, - Exotoxin (VFC0235
VFG016261(gb|WP_000714435), (hblD, Hemolysin BL lytic component L1 [HBL (VF0532, - Exotoxin (VFC0235
VFG016262(gb|WP_000714433), (hblD, Hemolysin BL lytic component L1 [HBL (VF0532, - Exotoxin (VFC0235
VFG016263(gb|WP_000850151), (hblC, Hemolysin BL lytic component L2 [HBL (VF0532, - Exotoxin (VFC0235
VFG016264(gb|WP_000850150), (hblC, Hemolysin BL lytic component L2 [HBL (VF0532, - Exotoxin (VFC0235
VFG016265(gb|WP_000850237), (hblC, Hemolysin BL lytic component L2 [HBL (VF0532, - Exotoxin (VFC0235
VFG016266(gb|WP_000751851), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016269(gb|WP_000751828), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016270(gb|WP_000751819), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016271(gb|WP_000751842), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016272(gb|WP_000751848), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016273(gb|WP_000751785), (nheA, non-hemolytic enterotoxin A [Nhe (VF0533, - Exotoxin (VFC0235
VFG016274(gb|WP_000162971), (nheB, non-hemolytic enterotoxin B [Nhe (VF0533, - Exotoxin (VFC0235
VFG016277(gb|WP_000162968), (nheB, non-hemolytic enterotoxin B [Nhe (VF0533, - Exotoxin (VFC0235
VFG016278(gb|WP_000162964), (nheB, non-hemolytic enterotoxin B [Nhe (VF0533, - Exotoxin (VFC0235
VFG016279(gb|WP_000162975), (nheB, non-hemolytic enterotoxin B [Nhe (VF0533, - Exotoxin (VFC0235
VFG016280(gb|WP_000162992), (nheB, non-hemolytic enterotoxin B [Nhe (VF0533, - Exotoxin (VFC0235
VFG016285(gb|WP_001171994), (nheC, non-hemolytic enterotoxin C [Nhe (VF0533, - Exotoxin (VFC0235
VFG016286(gb|WP_001172021), (nheC, non-hemolytic enterotoxin C [Nhe (VF0533, - Exotoxin (VFC0235
VFG016287(gb|WP_001172011), (nheC, non-hemolytic enterotoxin C [Nhe (VF0533, - Exotoxin (VFC0235
VFG016288(gb|WP_001172017), (nheC, non-hemolytic enterotoxin C [Nhe (VF0533, - Exotoxin (VFC0235
VFG016289(gb|WP_001172010), (nheC, non-hemolytic enterotoxin C [Nhe (VF0533, - Exotoxin (VFC0235
VFG000680(gb|AAF13661), (capA," CapA, required for Poly-gamma-glutamate transport [Capsule (VF0141", - Immune modulation (VFC0258
VFG016291(gb|NP_391469), (capA," CapA, required for Poly-gamma-glutamate transport [Capsule (VF0141", - Immune modulation (VFC0258
VFG016292(gb|WP_003185829), (capA," CapA, required for Poly-gamma-glutamate transport [Capsule (VF0141", - Immune modulation (VFC0258
VFG000681(gb|AAF13662), (capC," CapC, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016295(gb|NP_391470), (capC," CapC, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016296(gb|WP_003185831), (capC," CapC, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG000682(gb|AAF13663), (capB," CapB, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016299(gb|NP_391471), (capB," CapB, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016300(gb|WP_003185833), (capB," CapB, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016302(gb|WP_003159952), (dep/capD," gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan [Capsule (VF0141", - Immune modulation (VFC0258
VFG016303(gb|NP_389723), (dep/capD," gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan [Capsule (VF0141", - Immune modulation (VFC0258
VFG016304(gb|WP_011197813), (dep/capD," gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan [Capsule (VF0141", - Immune modulation (VFC0258
VFG016306(gb|WP_000239644), (capE," CapE, involved in Poly-gamma-glutamate synthesis [Capsule (VF0141", - Immune modulation (VFC0258
VFG016307(gb|WP_001084657), (galE, UDP-glucose 4-epimerase GalE [Polysaccharide capsule (VF0659, - Immune modulation (VFC0258
VFG016308(gb|WP_001084666), (galE, UDP-glucose 4-epimerase GalE [Polysaccharide capsule (VF0659, - Immune modulation (VFC0258
VFG016309(gb|WP_001084641), (galE, UDP-glucose 4-epimerase GalE [Polysaccharide capsule (VF0659, - Immune modulation (VFC0258
VFG016310(gb|WP_001084646), (galE, UDP-glucose 4-epimerase GalE [Polysaccharide capsule (VF0659, - Immune modulation (VFC0258
VFG002040(gb|AAD32423), (AAD32423, pXO1-119 [AtxA (VF0332, - Regulation (VFC0301
VFG016315(gb|WP_000542912), (plcR, helix-turn-helix transcriptional regulator [PlcR-PapR quorum sensing (VF0660, - Biofilm (VFC0271
VFG016316(gb|WP_000542932), (plcR, helix-turn-helix transcriptional regulator [PlcR-PapR quorum sensing (VF0660, - Biofilm (VFC0271
VFG016317(gb|WP_000542931), (plcR, helix-turn-helix transcriptional regulator [PlcR-PapR quorum sensing (VF0660, - Biofilm (VFC0271
VFG016319(gb|WP_000542903), (plcR, helix-turn-helix transcriptional regulator [PlcR-PapR quorum sensing (VF0660, - Biofilm (VFC0271
VFG016320(gb|WP_000095613), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016323(gb|WP_000066288), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016324(gb|WP_000095609), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016325(gb|WP_000095615), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016326(gb|WP_000095605), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016327(gb|WP_000069636), (piplc, phosphatidylinositol diacylglycerol-lyase [Phosphatidylinositol-specific phospholipase C (PI-PLC, (VF0661
VFG016328(gb|WP_000730990), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016331(gb|WP_000730997), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016332(gb|WP_000731014), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016333(gb|WP_000731007), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016334(gb|WP_000731009), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016335(gb|WP_000730993), (plcA, phospholipase C [Phosphatidylcholine-preferring phospholipase C (PC-PLC, (VF0662
VFG016338(gb|WP_001253006), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016339(gb|WP_001252988), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016340(gb|WP_001252971), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016341(gb|WP_001253008), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016342(gb|WP_001253000), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016343(gb|WP_001253002), (inhA, immune inhibitor A metalloprotease [InhA (VF0536, - Exoenzyme (VFC0251
VFG016346(gb|WP_001035927), (BAS_RS06430, immune inhibitor A [InhA (VF0536, - Exoenzyme (VFC0251
VFG016347(gb|WP_001035936), (BC_RS06405, immune inhibitor A [InhA (VF0536, - Exoenzyme (VFC0251
VFG016348(gb|WP_000038914), (BCE_RS07035, immune inhibitor A [InhA (VF0536, - Exoenzyme (VFC0251
VFG016349(gb|WP_001035917), (BCE33L_RS06640, immune inhibitor A [InhA (VF0536, - Exoenzyme (VFC0251
VFG016350(gb|WP_001035926), (BT9727_RS06485, immune inhibitor A [InhA (VF0536, - Exoenzyme (VFC0251
VFG016355(gb|WP_002195301), (ilsA, NEAT domain-containing leucine-rich repeat protein [IlsA (VF0585, - Nutritional/Metabolic factor (VFC0272
VFG016356(gb|WP_073569303), (ilsA, NEAT domain-containing leucine-rich repeat protein [IlsA (VF0585, - Nutritional/Metabolic factor (VFC0272
VFG016357(gb|WP_011198641), (ilsA, NEAT domain-containing leucine-rich repeat protein [IlsA (VF0585, - Nutritional/Metabolic factor (VFC0272
VFG016358(gb|WP_011181568), (ilsA, NEAT domain-containing leucine-rich repeat protein [IlsA (VF0585, - Nutritional/Metabolic factor (VFC0272
VFG016359(gb|WP_011732652), (ilsA, NEAT domain-containing leucine-rich repeat protein [IlsA (VF0585, - Nutritional/Metabolic factor (VFC0272
VFG016362(gb|WP_000959117), (hal, heme-acquisition leucine-rich repeat protein [Hal (VF0587, - Nutritional/Metabolic factor (VFC0272
