Gene,Annotation
relA,hypothetical protein;GTP pyrophosphokinase
ilvG_1_ilvG_2_ilvG,Acetolactate synthase isozyme 2 large subunit
selB_1_selB_selB_2,hypothetical protein;Selenocysteine-specific elongation factor
group_4736,hypothetical protein
ettA,Energy-dependent translational throttle protein EttA
cutC_2_cutC_1_pflD,hypothetical protein;Choline trimethylamine-lyase;Trans-4-hydroxy-L-proline dehydratase
nanT_nanT_2_nanT_1,Sialic acid transporter NanT
pdeK,putative cyclic di-GMP phosphodiesterase PdeK;hypothetical protein
glrK,Sensor histidine kinase GlrK
yghB,Inner membrane protein YghB
group_4726,hypothetical protein
group_4725,hypothetical protein
tsgA,hypothetical protein;Protein TsgA
pdxH,Pyridoxine/pyridoxamine 5'-phosphate oxidase
pdeB_2_pdeB_3_pdeB_pdeB_1,putative cyclic di-GMP phosphodiesterase PdeB
group_4711,hypothetical protein
tar_3_tar_2_tar_1_tar,Methyl-accepting chemotaxis protein II;hypothetical protein
pgi_2_pgi_1_pgi,hypothetical protein;Glucose-6-phosphate isomerase
flgA,Flagella basal body P-ring formation protein FlgA
glnP,Glutamine transport system permease protein GlnP
yiaD,putative lipoprotein YiaD
exoX,Exodeoxyribonuclease 10
group_4690,hypothetical protein
yqjA,Inner membrane protein YqjA
rsxB_1,Ion-translocating oxidoreductase complex subunit B
hslU,ATP-dependent protease ATPase subunit HslU;hypothetical protein
ackA,hypothetical protein;Acetate kinase
yhhQ,Queuosine precursor transporter
nuoC_2_nuoC_1_nuoC,NADH-quinone oxidoreductase subunit C/D;hypothetical protein
mepS_3,Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
uxuA_1_uxuA_2_uxuA,Mannonate dehydratase
nudL,putative Nudix hydrolase NudL
group_4670,hypothetical protein
metP,Methionine import system permease protein MetP
fpr,Flavodoxin/ferredoxin--NADP reductase
fabR,HTH-type transcriptional repressor FabR
mdtH_1_mdtH_2,hypothetical protein;Multidrug resistance protein MdtH
ycgM,putative protein YcgM
dedA,Protein DedA
hinT,hypothetical protein;Purine nucleoside phosphoramidase
aroL,Shikimate kinase 2
araB,Ribulokinase;hypothetical protein
phoP_2,Transcriptional regulatory protein PhoP
nfi,Endonuclease V
endA,Endonuclease-1
ugpB_ugpB_1_ugpB_2,hypothetical protein;sn-glycerol-3-phosphate-binding periplasmic protein UgpB
yggS_2_yggS_1_yggS,Pyridoxal phosphate homeostasis protein
group_4659,hypothetical protein
group_4658,hypothetical protein
glnQ_3,Glutamine transport ATP-binding protein GlnQ
arcB_arcB_2,Aerobic respiration control sensor protein ArcB;hypothetical protein
ydfG,NADP-dependent 3-hydroxy acid dehydrogenase YdfG
mipA,MltA-interacting protein
kdsB,3-deoxy-manno-octulosonate cytidylyltransferase
gltJ_1_gltJ_2,Glutamate/aspartate import permease protein GltJ;hypothetical protein
fliP,Flagellar biosynthetic protein FliP;hypothetical protein
fliR,Flagellar biosynthetic protein FliR
lpxD_1_lpxD_2,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase;hypothetical protein
yidA,Sugar phosphatase YidA
atpB_atpB_2,hypothetical protein;ATP synthase subunit a
mdtJ,Spermidine export protein MdtJ
comM_comM_2,Competence protein ComM
yqhD_1_yqhD_yqhD_2,Alcohol dehydrogenase YqhD
nudF,ADP-ribose pyrophosphatase
fdhD,Sulfur carrier protein FdhD
apbC,hypothetical protein;Iron-sulfur cluster carrier protein
yhaK,Pirin-like protein YhaK
sucB,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
group_4632,hypothetical protein
ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA
rarD_1_rarD_rarD_2,Protein RarD
rpe,Ribulose-phosphate 3-epimerase
fepE_1_fepE_fepE_2,Ferric enterobactin transport protein FepE;hypothetical protein
ccpA_2,hypothetical protein;Catabolite control protein A
hda,DnaA regulatory inactivator Hda
gsiC_1,Glutathione transport system permease protein GsiC
fdhE,Protein FdhE
pbpG,D-alanyl-D-alanine endopeptidase
gntP,High-affinity gluconate transporter;hypothetical protein
hemH,Ferrochelatase
birA,Bifunctional ligase/repressor BirA
group_4617,putative protein;hypothetical protein
rssB_1_cheV,Regulator of RpoS;Chemotaxis protein CheV
zntB_2_zntB_zntB_1,Zinc transport protein ZntB
ttcA,tRNA-cytidine(32) 2-sulfurtransferase
rluC,Ribosomal large subunit pseudouridine synthase C
flgD,Basal-body rod modification protein FlgD
rnc,Ribonuclease 3
deoB,Phosphopentomutase
yihU_3_yihU_1_yihU_2,3-sulfolactaldehyde reductase
cysG_1_cysG_2,Siroheme synthase
frlB,Fructoselysine 6-phosphate deglycase
metN_3_metN_1,Methionine import ATP-binding protein MetN
csrD_2_csrD_csrD_1,RNase E specificity factor CsrD
group_4609,hypothetical protein;Response regulator PleD
yfiF,putative tRNA/rRNA methyltransferase YfiF
potB,Spermidine/putrescine transport system permease protein PotB
cytR_1_purR_2_cytR_2,hypothetical protein;HTH-type transcriptional repressor CytR;HTH-type transcriptional repressor PurR
artQ_1_artQ_2,Arginine transport system permease protein ArtQ
chaA_1_chaA_chaA_2,Sodium-potassium/proton antiporter ChaA
secD_2_secD_1_secD,Protein translocase subunit SecD
dapE_1_dapE_2_dapE,Succinyl-diaminopimelate desuccinylase
solA,N-methyl-L-tryptophan oxidase;hypothetical protein
btuD_3_potA_1,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD;Spermidine/putrescine import ATP-binding protein PotA
group_4603,hypothetical protein
cydB_1,Cytochrome bd-I ubiquinol oxidase subunit 2
group_4601,Beta-xylosidase;hypothetical protein
group_4600,hypothetical protein
pflB,Formate acetyltransferase 1
pstB,Phosphate import ATP-binding protein PstB
group_4598,hypothetical protein
thlA,Acetyl-CoA acetyltransferase
cutC_cutC_1_cutC_2,Copper homeostasis protein CutC
hemX_2_hemX_1_hemX,Protein HemX
coaBC_1_coaBC_coaBC_2,Coenzyme A biosynthesis bifunctional protein CoaBC
dacC_1_dacC_2_dacC,D-alanyl-D-alanine carboxypeptidase DacC
mlc,hypothetical protein;Protein mlc
cdgJ_2_cdgJ_1,Cyclic di-GMP phosphodiesterase CdgJ
hdfR_2_hcaR_benM_1_hdfR_3_benM_2,HTH-type transcriptional regulator HdfR;Hca operon transcriptional activator HcaR;HTH-type transcriptional regulator BenM;hypothetical protein
ynhG,putative LD-transpeptidase YnhG;hypothetical protein
hisQ,Histidine transport system permease protein HisQ
fcl,GDP-L-fucose synthase
mutH,DNA mismatch repair protein MutH
deoC,Deoxyribose-phosphate aldolase
mdfA,Multidrug transporter MdfA
ybjG,Putative undecaprenyl-diphosphatase YbjG
fabF_2_fabF_1_fabF,3-oxoacyl-[acyl-carrier-protein] synthase 2;hypothetical protein
ddlB,D-alanine--D-alanine ligase B
ispB,Octaprenyl diphosphate synthase;hypothetical protein
hflC_1_hflC_2_hflC,Modulator of FtsH protease HflC
ndh,NADH dehydrogenase
mdoG,hypothetical protein;Glucans biosynthesis protein G
rof,Protein rof
dgoD,D-galactonate dehydratase
ttuB_2_ttuB_1,Putative tartrate transporter
trmH,tRNA (guanosine(18)-2'-O)-methyltransferase
phoB,Phosphate regulon transcriptional regulatory protein PhoB
recB,RecBCD enzyme subunit RecB
bglJ,Transcriptional activator protein BglJ
rssB_rssB_1_rssB_2,Regulator of RpoS
argH,Argininosuccinate lyase
cmk,Cytidylate kinase
group_4573,hypothetical protein
rpoS_2_rpoS_1_rpoS,RNA polymerase sigma factor RpoS
ytjB_1_ytjB_2_ytjB,putative inner membrane protein Smp
galP_1_galP_2_galP,Galactose-proton symporter
glnA,Glutamine synthetase;hypothetical protein
cydA_3,hypothetical protein;Cytochrome bd ubiquinol oxidase subunit 1
araE_2_araE_1_araE,Arabinose-proton symporter
holB,DNA polymerase III subunit delta'
minC,Septum site-determining protein MinC
modB,Molybdenum transport system permease protein ModB
lptA,Lipopolysaccharide export system protein LptA
pykA,Pyruvate kinase II
group_4566,Murein DD-endopeptidase MepM
panF,Sodium/pantothenate symporter
glsA2,Glutaminase 2
group_4562,hypothetical protein
ftsX,Cell division protein FtsX
galS,HTH-type transcriptional regulator GalS
group_4554,hypothetical protein
rlmJ,Ribosomal RNA large subunit methyltransferase J
oppA_1_oppA_2,hypothetical protein;Periplasmic oligopeptide-binding protein
nhaK_nhaK_2_nhaK_1,Sodium potassium lithium and rubidium/H(+) antiporter
actP,Cation/acetate symporter ActP
pgm,Phosphoglucomutase
yhhW,Quercetin 23-dioxygenase
queC,7-cyano-7-deazaguanine synthase
yohK,Inner membrane protein YohK
asnB,hypothetical protein;Asparagine synthetase B [glutamine-hydrolyzing]
araD,L-ribulose-5-phosphate 4-epimerase AraD
ubiB,putative protein kinase UbiB
glk,hypothetical protein;Glucokinase
group_4545,Extracellular serine protease;hypothetical protein
cheB,hypothetical protein;Protein-glutamate methylesterase/protein-glutamine glutaminase
fdhF_1_fdhF_3,Formate dehydrogenase H
eptB,Kdo(2)-lipid A phosphoethanolamine 7''-transferase
yhhX,hypothetical protein;putative oxidoreductase YhhX
cydD_1_cydD_2_cydD,ATP-binding/permease protein CydD
cysI,hypothetical protein;Sulfite reductase [NADPH] hemoprotein beta-component
hscA_1_hscA_2_hscA,Chaperone protein HscA;hypothetical protein
rbsA_2_rbsA_rbsA_1,Ribose import ATP-binding protein RbsA
mrdA_1_mrdA_2_mrdA,Peptidoglycan DD-transpeptidase MrdA
aceF,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
group_4530,hypothetical protein
smc_2_tar_2_tar_1_smc_1,hypothetical protein;Chromosome partition protein Smc;Methyl-accepting chemotaxis protein II
deaD,hypothetical protein;ATP-dependent RNA helicase DeaD
group_4528,Chaperone protein DnaK
ftsH_ftsH_1_ftsH_2,ATP-dependent zinc metalloprotease FtsH
speA_1_speA_speA_2,Biosynthetic arginine decarboxylase
loiP,Metalloprotease LoiP
betI_2_betI_3_betI_1,HTH-type transcriptional regulator BetI
group_4516,hypothetical protein
glyS,hypothetical protein;Glycine--tRNA ligase beta subunit
recG_recG_1,ATP-dependent DNA helicase RecG;hypothetical protein
yccS_1,hypothetical protein;Inner membrane protein YccS
melY_2_melY_1_melY,Melibiose permease
malP_2,hypothetical protein;Maltodextrin phosphorylase
cysE_1,hypothetical protein;Serine acetyltransferase
pdeA_1_pdeA_2_pdeA,putative cyclic di-GMP phosphodiesterase PdeA;hypothetical protein
fre,NAD(P)H-flavin reductase
thiQ,Thiamine import ATP-binding protein ThiQ
fimC_lpfB_2_ycbF_caf1M_lpfB_3,Chaperone protein FimC;hypothetical protein;putative fimbrial chaperone LpfB;putative fimbrial chaperone YcbF;Chaperone protein caf1M
tcyP_2_tcyP_1_tcyP,L-cystine uptake protein TcyP
sbnA_mccA,hypothetical protein;N-(2-amino-2-carboxyethyl)-L-glutamate synthase;O-acetylserine dependent cystathionine beta-synthase
clpP_clpP_2,ATP-dependent Clp protease proteolytic subunit
group_4505,hypothetical protein
ppsA_2_ppsA_1_ppsA,Phosphoenolpyruvate synthase
cdsA,Phosphatidate cytidylyltransferase
osmB,Osmotically-inducible lipoprotein B
arcA_2_arcA_1,Aerobic respiration control protein ArcA
igaA_1_igaA_igaA_2,Intracellular growth attenuator protein igaA
ppc,Phosphoenolpyruvate carboxylase
yebT,Intermembrane transport protein YebT
fliH,Flagellar assembly protein FliH
aat,Leucyl/phenylalanyl-tRNA--protein transferase
rplA,50S ribosomal protein L1
ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
group_4482,Putative formate dehydrogenase
dctA_2_dctA_dctA_1,Aerobic C4-dicarboxylate transport protein
flgH,Flagellar L-ring protein
ybhL,Inner membrane protein YbhL
group_4454,hypothetical protein
mukE,Chromosome partition protein MukE
livF_4,High-affinity branched-chain amino acid transport ATP-binding protein LivF
group_4441,hypothetical protein
fic_2_fic_1_fic,putative protein adenylyltransferase Fic
kefB_kefB_1_kefC_1_kefC_2,Glutathione-regulated potassium-efflux system protein KefB;Glutathione-regulated potassium-efflux system protein KefC;hypothetical protein
rph,Ribonuclease PH
hisM,Histidine transport system permease protein HisM
artQ_2,Arginine ABC transporter permease protein ArtQ
sdhB,Succinate dehydrogenase iron-sulfur subunit
group_4431,hypothetical protein
group_4425,hypothetical protein
ompR,Transcriptional regulatory protein OmpR
fadR,Fatty acid metabolism regulator protein
exbB,Biopolymer transport protein ExbB
trmB_1,tRNA (guanine-N(7)-)-methyltransferase
dsbC,Thiol:disulfide interchange protein DsbC
dauR,Transcriptional regulator DauR
dedD,Cell division protein DedD
group_4415,hypothetical protein
glnQ_4,Glutamine transport ATP-binding protein GlnQ
pdxY,Pyridoxal kinase PdxY
iprA_2_iprA_3_iprA_4_iprA_1,hypothetical protein;Inhibitor of hydrogen peroxide resistance
gltJ_1_gltJ_2_gltJ,Glutamate/aspartate import permease protein GltJ
lpxB,Lipid-A-disaccharide synthase;hypothetical protein
mreC,Cell shape-determining protein MreC
btsR,Transcriptional regulatory protein BtsR
rpsB,30S ribosomal protein S2
mlrA_mlrA_1_mlrA_2,HTH-type transcriptional regulator MlrA
yehW,Glycine betaine uptake system permease protein YehW
group_4387,hypothetical protein
group_4378,hypothetical protein
rplP,50S ribosomal protein L16
group_4366,hypothetical protein
ubiG,Ubiquinone biosynthesis O-methyltransferase
artI,Putative ABC transporter arginine-binding protein 2
nhaR,Transcriptional activator protein NhaR
group_4362,hypothetical protein
group_4360,hypothetical protein
group_4359,hypothetical protein
pspA,Phage shock protein A
group_4354,hypothetical protein
macB_1_macB_2,Macrolide export ATP-binding/permease protein MacB
group_4352,3-oxoacyl-[acyl-carrier-protein] reductase FabG
cysH,Phosphoadenosine phosphosulfate reductase
accC_2_accC_accC_1,Biotin carboxylase
ffh,Signal recognition particle protein
pta,Phosphate acetyltransferase
glpQ_1_glpQ_glpQ_2,Glycerophosphodiester phosphodiesterase periplasmic
dnaC,DNA replication protein DnaC
mdtG_sbnD,Multidrug resistance protein MdtG;Staphyloferrin B transporter
dacA,D-alanyl-D-alanine carboxypeptidase DacA
dnaQ,DNA polymerase III subunit epsilon
minD,Septum site-determining protein MinD
group_4325,hypothetical protein
spoT,hypothetical protein;Bifunctional (p)ppGpp synthase/hydrolase SpoT
rdgC,Recombination-associated protein RdgC
yebC,putative transcriptional regulatory protein YebC
yejK,Nucleoid-associated protein YejK
rpsA,30S ribosomal protein S1;hypothetical protein
comEC,hypothetical protein;ComE operon protein 3
citE_1_citE_2_citE,Citrate lyase subunit beta
pheT,Phenylalanine--tRNA ligase beta subunit
yqjE,Inner membrane protein YqjE
hflX,hypothetical protein;GTPase HflX
miaA,tRNA dimethylallyltransferase
rcsA_2_rcsA_1,Transcriptional regulatory protein RcsA
ybgI,GTP cyclohydrolase 1 type 2
recC_2_recC_1_recC,RecBCD enzyme subunit RecC
pspD,hypothetical protein;Phage shock protein D
secY,Protein translocase subunit SecY
yqjG_yqjG_1,Glutathionyl-hydroquinone reductase YqjG
group_4251,hypothetical protein
rplJ,50S ribosomal protein L10
yqjC,Protein YqjC
group_4241,hypothetical protein
gcvT,Aminomethyltransferase
gcvA_2_gcvA_1,Glycine cleavage system transcriptional activator
gpmA,23-bisphosphoglycerate-dependent phosphoglycerate mutase
group_4229,hypothetical protein;putative metallo-hydrolase
group_4226,hypothetical protein
nrdH,Glutaredoxin-like protein NrdH;hypothetical protein
mlaA,Intermembrane phospholipid transport system lipoprotein MlaA
gapA,Glyceraldehyde-3-phosphate dehydrogenase A
group_4214,hypothetical protein
rlmN_1_rlmN_2_rlmN,Dual-specificity RNA methyltransferase RlmN
group_4187,hypothetical protein
yjjG_2_gph_1_yjjG_1_yjjG,Pyrimidine 5'-nucleotidase YjjG;Phosphoglycolate phosphatase
asnC,Regulatory protein AsnC
rsxA,Ion-translocating oxidoreductase complex subunit A
group_4179,hypothetical protein
group_4178,HTH-type transcriptional regulator HdfR
qmcA_1_qmcA_2_qmcA,Protein QmcA;hypothetical protein
group_4172,hypothetical protein
tatC,Sec-independent protein translocase protein TatC
kduD_1,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
group_4171,hypothetical protein
rpmG,50S ribosomal protein L33
group_4166,hypothetical protein
fliM,Flagellar motor switch protein FliM;hypothetical protein
licC_4_licC_1_lacE_licC_5,hypothetical protein;Lichenan permease IIC component;PTS system lactose-specific EIICB component
corC,hypothetical protein;Magnesium and cobalt efflux protein CorC
ydaP,Putative thiamine pyrophosphate-containing protein YdaP
gcvR,Glycine cleavage system transcriptional repressor
group_4160,hypothetical protein
ushA,Protein UshA
group_4148,hypothetical protein
sspA,Stringent starvation protein A
lptB_2,Lipopolysaccharide export system ATP-binding protein LptB
group_4140,hypothetical protein
bamA,Outer membrane protein assembly factor BamA
thiC,hypothetical protein;Phosphomethylpyrimidine synthase
rlmG_1_rlmG_2_rlmG,Ribosomal RNA large subunit methyltransferase G
moaA,GTP 3'8-cyclase
group_4126,hypothetical protein;putative signaling protein
trpR,Trp operon repressor
group_4123,hypothetical protein
rpmF,50S ribosomal protein L32
tolB,Tol-Pal system protein TolB
group_4113,hypothetical protein
pdeN,hypothetical protein;putative cyclic di-GMP phosphodiesterase PdeN
group_4109,putative ketoamine kinase
can_2_can_1,Carbonic anhydrase 2
yaaA,Peroxide stress resistance protein YaaA
group_4107,hypothetical protein
cho,Excinuclease cho
arfB_prfB_2,Peptidyl-tRNA hydrolase ArfB;Peptide chain release factor 2
group_4102,hypothetical protein
sixA,Phosphohistidine phosphatase SixA
selD_1_selD_selD_2,Selenide water dikinase
mlaE,Intermembrane phospholipid transport system permease protein MlaE
hha,hypothetical protein;Hemolysin expression-modulating protein Hha
argB,Acetylglutamate kinase
ybdO_2_ybdO_3_ybdO_1,putative HTH-type transcriptional regulator YbdO;hypothetical protein
rng,hypothetical protein;Ribonuclease G
tesB_1_tesB_tesB_2,Acyl-CoA thioesterase 2
cmoM,tRNA 5-carboxymethoxyuridine methyltransferase
sdaA,hypothetical protein;L-serine dehydratase 1
lldR_1,Putative L-lactate dehydrogenase operon regulatory protein
group_4070,hypothetical protein
flhD,Flagellar transcriptional regulator FlhD
slyX,Protein SlyX
kduD_1_kduD_2,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
group_4060,hypothetical protein
group_4056,hypothetical protein
argT,Lysine/arginine/ornithine-binding periplasmic protein
flgG,Flagellar basal-body rod protein FlgG
htpG_2,hypothetical protein;Chaperone protein HtpG
ruvB,Holliday junction ATP-dependent DNA helicase RuvB
cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1
rpoA,hypothetical protein;DNA-directed RNA polymerase subunit alpha
bhsA_2_bhsA_1_bhsA,Multiple stress resistance protein BhsA
yijD,Inner membrane protein YijD
mlaB,Intermembrane phospholipid transport system binding protein MlaB
group_4022,hypothetical protein
group_4018,hypothetical protein
group_4017,hypothetical protein
lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
group_4015,hypothetical protein
group_4013,hypothetical protein
rimJ_2_rimJ_1_rimJ,[Ribosomal protein S5]-alanine N-acetyltransferase
rclR_rhaS_1,RCS-specific HTH-type transcriptional activator RclR;hypothetical protein;HTH-type transcriptional activator RhaS
mliC,Membrane-bound lysozyme inhibitor of C-type lysozyme;hypothetical protein
ycgL,Protein YcgL
accD_2_accD_1_accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
flgM,Negative regulator of flagellin synthesis
glnH_1_glnH_2,Glutamine-binding periplasmic protein
holA,DNA polymerase III subunit delta
group_4007,hypothetical protein
group_4005,hypothetical protein
metN_2_metN_3,Methionine import ATP-binding protein MetN
group_3995,hypothetical protein;putative protein
rpsG,hypothetical protein;30S ribosomal protein S7
sodA,Superoxide dismutase [Mn]
uraA,Uracil permease
era_1_era_2_era,GTPase Era
aroA,3-phosphoshikimate 1-carboxyvinyltransferase
trxC_2_trxC_1_trxC,Thioredoxin 2
csrA,Carbon storage regulator
rplV,50S ribosomal protein L22
map,Methionine aminopeptidase
rsmE_1_rsmE_2_rsmE,Ribosomal RNA small subunit methyltransferase E
ybgC,Acyl-CoA thioester hydrolase YbgC
sdhA,Succinate dehydrogenase flavoprotein subunit
nadA,Quinolinate synthase A
fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
group_3957,hypothetical protein
nrdA_1_nrdA_2_nrdA,Ribonucleoside-diphosphate reductase 1 subunit alpha;hypothetical protein
iscR,HTH-type transcriptional regulator IscR
pxpC,5-oxoprolinase subunit C
dnaT,Primosomal protein 1
rluD,Ribosomal large subunit pseudouridine synthase D
mngA_2_mngA_1_mngA_3_fryC,PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component;Fructose-like permease IIC component 1
dsrB,Protein DsrB
yacG,DNA gyrase inhibitor YacG
yeaD_1_yeaD_yeaD_2,Putative glucose-6-phosphate 1-epimerase
decR_1_decR_2,hypothetical protein;DNA-binding transcriptional activator DecR
manY,PTS system mannose-specific EIIC component
chrR_1_chrR_2_chrR,Quinone reductase
group_3941,hypothetical protein
prlC,Oligopeptidase A;hypothetical protein
group_3940,hypothetical protein
group_3935,hypothetical protein
moeA,Molybdopterin molybdenumtransferase
yhdY_2_yhdY_1_yhdY,Inner membrane amino-acid ABC transporter permease protein YhdY
tatB,Sec-independent protein translocase protein TatB
group_3926,hypothetical protein
tesA,Thioesterase 1/protease 1/lysophospholipase L1;hypothetical protein
thiS,Sulfur carrier protein ThiS
bhsA_2,hypothetical protein;Multiple stress resistance protein BhsA
group_3918,hypothetical protein
ispU,Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific)
group_3915,hypothetical protein
sapF,Putrescine export system ATP-binding protein SapF
fliQ,Flagellar biosynthetic protein FliQ
group_3914,Methionine-binding lipoprotein MetQ
fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
manX,PTS system mannose-specific EIIAB component
mepA,Penicillin-insensitive murein endopeptidase
epmC,Elongation factor P hydroxylase;hypothetical protein
group_3907,hypothetical protein
mltA,Membrane-bound lytic murein transglycosylase A
csqR,HTH-type transcriptional repressor CsqR
rna,Ribonuclease I
group_3906,hypothetical protein
rpmC,50S ribosomal protein L29
mdtI,Spermidine export protein MdtI
group_3904,hypothetical protein
group_3898,hypothetical protein
group_3897,hypothetical protein
aceK_aceK_2_aceK_1,Isocitrate dehydrogenase kinase/phosphatase
group_3892,hypothetical protein
tcdA,tRNA threonylcarbamoyladenosine dehydratase
potA_3_potA_1_potA_2,Spermidine/putrescine import ATP-binding protein PotA;hypothetical protein
truA,tRNA pseudouridine synthase A
djlA,Co-chaperone protein DjlA
yhfA,Protein YhfA
sucC_1_sucC_2_sucC,Succinate--CoA ligase [ADP-forming] subunit beta;hypothetical protein
group_3875,hypothetical protein
budA,Alpha-acetolactate decarboxylase
wecD,dTDP-fucosamine acetyltransferase
kdgR_2_kdgR_1,Transcriptional regulator KdgR
prc,Tail-specific protease
mlaF,Intermembrane phospholipid transport system ATP-binding protein MlaF
lacG,hypothetical protein;Lactose transport system permease protein LacG
group_3866,26 kDa periplasmic immunogenic protein;hypothetical protein
fhuC,Iron(3+)-hydroxamate import ATP-binding protein FhuC
cra_1,hypothetical protein;Catabolite repressor/activator
dppB_1_dppB_2,Dipeptide transport system permease protein DppB
nfsA,Oxygen-insensitive NADPH nitroreductase
nanR_3_nanR_2,HTH-type transcriptional repressor NanR
bdlA_2_bdlA_1_bdlA,Biofilm dispersion protein BdlA
cysA,Sulfate/thiosulfate import ATP-binding protein CysA
uppP,Undecaprenyl-diphosphatase
glpE_1,Thiosulfate sulfurtransferase GlpE
group_3847,hypothetical protein
nuoN,NADH-quinone oxidoreductase subunit N;hypothetical protein
crr,PTS system glucose-specific EIIA component;hypothetical protein
lacF,Lactose transport system permease protein LacF;hypothetical protein
ftsZ,Cell division protein FtsZ
group_3841,hypothetical protein
gmuD_2,6-phospho-beta-glucosidase GmuD
ribC,Riboflavin synthase
rpmI,50S ribosomal protein L35
group_3831,hypothetical protein
ilvD,hypothetical protein;Dihydroxy-acid dehydratase
pat_2,hypothetical protein;L-methionine sulfoximine/L-methionine sulfone acetyltransferase;Phosphinothricin N-acetyltransferase
higA1,hypothetical protein;Antitoxin HigA1
hdfR_1,HTH-type transcriptional regulator HdfR
rplB,50S ribosomal protein L2
narI,Respiratory nitrate reductase 1 gamma chain
macA_macA_2_macA_1,hypothetical protein;Macrolide export protein MacA
ampE,Protein AmpE
ppa,Inorganic pyrophosphatase
sbp,Sulfate-binding protein;hypothetical protein
gsk_2_gsk_1_gsk,Inosine-guanosine kinase
sapA,Peptide transport periplasmic protein SapA
ybdO_2_ybdO_1,putative HTH-type transcriptional regulator YbdO;hypothetical protein
lepA,Elongation factor 4
group_3799,hypothetical protein
mcbA_bhsA_2,putative protein McbA;Multiple stress resistance protein BhsA
lpfA_1_fimA_lpfA,putative major fimbrial subunit LpfA;Type-1 fimbrial protein A chain
tsx,Nucleoside-specific channel-forming protein Tsx
cysZ,Sulfate transporter CysZ
nusB,Transcription antitermination protein NusB
otsB_1_otsB_2_otsB,Trehalose-6-phosphate phosphatase;hypothetical protein
fliY,L-cystine-binding protein FliY
group_3790,hypothetical protein
nadE,NH(3)-dependent NAD(+) synthetase
cpdA_1,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA
sdhE,FAD assembly factor SdhE
tpx_2_tpx_tpx_1,Thiol peroxidase
gph,Phosphoglycolate phosphatase
arcC1,Carbamate kinase 1
ridA,2-iminobutanoate/2-iminopropanoate deaminase
glpG,Rhomboid protease GlpG
cysS,Cysteine--tRNA ligase
deoD,Purine nucleoside phosphorylase DeoD-type
mtnK,hypothetical protein;Methylthioribose kinase
cysE_2,Serine acetyltransferase
hokB_2,Toxic protein HokB
group_3759,hypothetical protein
aaeX,Protein AaeX
metI_2_metI_1,D-methionine transport system permease protein MetI
ppsR,Phosphoenolpyruvate synthase regulatory protein
group_3757,hypothetical protein
cobB,NAD-dependent protein deacylase
hldD,ADP-L-glycero-D-manno-heptose-6-epimerase
dinI,DNA damage-inducible protein I
ispF,2-C-methyl-D-erythritol 24-cyclodiphosphate synthase
licA_chbA_2,Lichenan-specific phosphotransferase enzyme IIA component;PTS system NN'-diacetylchitobiose-specific EIIA component
murF_murF_1_murF_2,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
lptF_2_lptF_1_lptF,Lipopolysaccharide export system permease protein LptF
yggX,putative Fe(2+)-trafficking protein
cysW_2_cysW,Sulfate transport system permease protein CysW
dnaA,Chromosomal replication initiator protein DnaA
group_3722,hypothetical protein
mshA_3_mshA_2,D-inositol-3-phosphate glycosyltransferase
rfaQ,hypothetical protein;Lipopolysaccharide core heptosyltransferase RfaQ
dapH,Putative acetyltransferase;2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase
iclR,Transcriptional repressor IclR
group_3707,hypothetical protein
yedJ,putative protein YedJ
yceJ,Cytochrome b561
potF,Putrescine-binding periplasmic protein
cydA_3_cydA_1,Cytochrome bd-I ubiquinol oxidase subunit 1
rplM,50S ribosomal protein L13
flk,hypothetical protein;Flagellar regulator flk
licC_3_lacE_licC_5,Lichenan permease IIC component;PTS system lactose-specific EIICB component
mtlA,PTS system mannitol-specific EIICBA component
yehZ,Glycine betaine-binding protein YehZ
group_3687,hypothetical protein
ydcV_1,Inner membrane ABC transporter permease protein YdcV
sugB,Trehalose transport system permease protein SugB
pflA,Pyruvate formate-lyase 1-activating enzyme;hypothetical protein
mepH,Murein DD-endopeptidase MepH
phoU,Phosphate-specific transport system accessory protein PhoU
yhdW,Putative amino-acid ABC transporter-binding protein YhdW
pyrG_2,CTP synthase
group_3671,hypothetical protein
cspC,Cold shock-like protein CspC
